Instance,Distance,Vehicles,Veh Time (s),Dist Time (s),Total Time (s),Timestamp
C1_n100_d100_0063.csv,2081.5,15,80.16,150.07,230.26,2026-04-28 23:48:34
C1_n100_d100_0064.csv,2080.2,15,100.23,150.04,250.3,2026-04-28 23:52:45
C1_n100_d100_0065.csv,2027.8,14,80.14,150.04,230.21,2026-04-28 23:56:35
C1_n100_d100_0066.csv,1854.3,18,80.13,150.04,230.19,2026-04-29 00:00:25
C1_n100_d100_0067.csv,1955.6,16,80.1,535.02,615.15,2026-04-29 00:10:40
C1_n100_d100_0068.csv,1833,17,60.1,150.03,210.16,2026-04-29 00:14:11
C1_n100_d100_0069.csv,1965.5,20,40.06,150.04,190.12,2026-04-29 00:17:21
C1_n100_d100_0070.csv,1945.6,15,80.15,150.04,230.23,2026-04-29 00:21:11
C1_n100_d100_0071.csv,1955.1,15,60.11,150.06,210.21,2026-04-29 00:24:41
C1_n100_d100_0072.csv,1978.7,14,100.2,150.07,250.3,2026-04-29 00:28:51
C1_n100_d100_0073.csv,1937.2,17,60.12,150.06,210.2,2026-04-29 00:32:22
C1_n100_d100_0074.csv,1952.9,15,100.16,150.04,250.23,2026-04-29 00:36:32
C1_n100_d100_0075.csv,1835.1,15,80.11,150.05,230.18,2026-04-29 00:40:22
C1_n100_d100_0076.csv,2114.1,16,100.16,150.04,250.22,2026-04-29 00:44:32
C1_n100_d100_0077.csv,1906.8,17,60.06,150.04,210.12,2026-04-29 00:48:02
C1_n100_d100_0078.csv,2010.2,19,60.06,150.04,210.12,2026-04-29 00:51:32
C1_n100_d100_0079.csv,2064.7,15,120.21,150.04,270.27,2026-04-29 00:56:03
C1_n100_d100_0080.csv,1876.5,16,80.11,150.04,230.18,2026-04-29 00:59:53
C1_n100_d100_0081.csv,2205,16,80.11,150.05,230.19,2026-04-29 01:03:43
C1_n100_d100_0082.csv,2058.4,14,80.16,150.04,230.23,2026-04-29 01:07:33
C1_n100_d100_0083.csv,2117,22,40.04,150.04,190.14,2026-04-29 01:10:43
C1_n100_d100_0084.csv,2045.1,21,60.07,150.04,210.14,2026-04-29 01:14:14
C1_n100_d100_0085.csv,2097.9,14,80.12,150.04,230.19,2026-04-29 01:18:04
C1_n100_d100_0086.csv,1879.4,14,80.11,150.05,230.2,2026-04-29 01:21:54
C1_n100_d100_0087.csv,2142.7,22,40.05,150.04,190.12,2026-04-29 01:25:04
C1_n100_d25_0001.csv,1553.7,15,40.08,150.04,190.14,2026-04-29 01:28:14
C1_n100_d25_0002.csv,1460.2,15,40.05,150.04,190.13,2026-04-29 01:31:24
C1_n100_d25_0003.csv,1201.1,10,40.04,150.04,190.1,2026-04-29 01:34:35
C1_n100_d25_0004.csv,1361.5,13,40.04,150.04,190.1,2026-04-29 01:37:45
C1_n100_d25_0005.csv,1969.7,22,40.04,150.03,190.12,2026-04-29 01:40:55
C1_n100_d25_0006.csv,1293.8,11,40.05,150.05,190.14,2026-04-29 01:44:05
C1_n100_d25_0007.csv,2026.2,21,40.03,150.06,190.12,2026-04-29 01:47:15
C1_n100_d25_0008.csv,1876.6,19,40.05,150.04,190.11,2026-04-29 01:50:25
C1_n100_d25_0009.csv,1694.6,17,40.04,150.05,190.14,2026-04-29 01:53:35
C1_n100_d25_0010.csv,1335.6,12,40.04,150.04,190.11,2026-04-29 01:56:45
C1_n100_d25_0011.csv,1882.5,19,40.06,150.04,190.12,2026-04-29 01:59:55
C1_n100_d25_0012.csv,1547.2,15,40.04,150.04,190.11,2026-04-29 02:03:06
C1_n100_d25_0013.csv,1219.8,10,60.07,150.04,210.13,2026-04-29 02:06:36
C1_n100_d25_0014.csv,1235.3,10,60.08,150.04,210.15,2026-04-29 02:10:06
C1_n100_d25_0015.csv,2166.6,23,40.06,150.05,190.13,2026-04-29 02:13:16
C1_n100_d25_0016.csv,1593,17,40.04,150.04,190.11,2026-04-29 02:16:26
C1_n100_d25_0017.csv,1440.3,14,40.04,150.07,190.13,2026-04-29 02:19:36
C1_n100_d25_0018.csv,1301.2,12,40.07,150.04,190.15,2026-04-29 02:22:46
C1_n100_d25_0019.csv,1565.4,17,40.04,150.04,190.11,2026-04-29 02:25:57
C1_n100_d25_0020.csv,1712.4,19,40.06,150.04,190.12,2026-04-29 02:29:07
C1_n100_d25_0021.csv,1212.9,11,40.04,150.04,190.1,2026-04-29 02:32:17
C1_n100_d25_0022.csv,1834.6,20,40.03,150.03,190.09,2026-04-29 02:35:27
C1_n100_d25_0023.csv,1592.5,17,40.03,150.03,190.09,2026-04-29 02:38:37
C1_n100_d25_0024.csv,1232.8,11,60.09,150.04,210.16,2026-04-29 02:42:07
C1_n100_d25_0025.csv,1863.9,20,40.04,150.04,190.12,2026-04-29 02:45:17
C1_n100_d25_0026.csv,1469.1,14,60.1,150.04,210.17,2026-04-29 02:48:47
C1_n100_d25_0027.csv,1650.9,17,40.06,150.03,190.14,2026-04-29 02:51:58
C1_n100_d25_0028.csv,2017.6,22,40.04,150.04,190.11,2026-04-29 02:55:08
C1_n100_d25_0029.csv,1743,18,40.04,150.03,190.1,2026-04-29 02:58:18
C1_n100_d25_0030.csv,1752.7,18,40.03,150.04,190.1,2026-04-29 03:01:28
C1_n100_d25_0031.csv,1665.1,17,40.04,150.04,190.11,2026-04-29 03:04:38
C1_n100_d25_0032.csv,1219,10,60.07,150.04,210.14,2026-04-29 03:08:08
C1_n100_d25_0033.csv,1917.5,21,40.05,150.03,190.11,2026-04-29 03:11:18
C1_n100_d25_0034.csv,1671.2,17,40.04,150.04,190.11,2026-04-29 03:14:28
C1_n100_d25_0035.csv,1314.4,13,40.04,150.07,190.2,2026-04-29 03:17:38
C1_n100_d25_0036.csv,1313.1,12,60.09,150.04,210.16,2026-04-29 03:21:09
C1_n100_d25_0037.csv,1510.3,14,60.1,150.04,210.25,2026-04-29 03:24:39
C1_n100_d25_0038.csv,1868.9,20,40.03,150.03,190.16,2026-04-29 03:27:49
C1_n100_d50_0001.csv,1857.4,19,60.06,150.04,210.21,2026-04-29 03:31:19
C1_n100_d50_0002.csv,2247.2,22,60.06,150.03,210.12,2026-04-29 03:34:49
C1_n100_d50_0003.csv,1447.9,13,40.04,150.06,190.12,2026-04-29 03:38:00
C1_n100_d50_0004.csv,1890.9,19,60.09,150.04,210.15,2026-04-29 03:41:30
C1_n100_d50_0005.csv,1481.3,14,60.07,150.07,210.26,2026-04-29 03:45:00
C1_n100_d50_0006.csv,2218.4,24,60.07,150.05,210.22,2026-04-29 03:48:30
C1_n100_d50_0007.csv,1675.6,10,100.17,150.05,250.32,2026-04-29 03:52:40
C1_n100_d50_0008.csv,1964.9,21,40.03,150.03,190.1,2026-04-29 03:55:51
C1_n100_d50_0009.csv,1900.9,20,40.07,150.03,190.21,2026-04-29 03:59:01
C1_n100_d50_0010.csv,1796,18,60.06,150.05,210.13,2026-04-29 04:02:31
C1_n100_d50_0011.csv,1950.9,19,40.04,150.05,190.11,2026-04-29 04:05:41
C1_n100_d50_0012.csv,1647.2,16,40.04,150.05,190.11,2026-04-29 04:08:51
C1_n100_d50_0013.csv,1393.2,10,80.12,150.04,230.19,2026-04-29 04:12:41
C1_n100_d50_0014.csv,1866.7,18,60.07,150.04,210.14,2026-04-29 04:16:11
C1_n100_d50_0015.csv,1488,13,40.04,150.04,190.11,2026-04-29 04:19:22
C1_n100_d50_0016.csv,1464.7,14,40.06,150.04,190.13,2026-04-29 04:22:32
C1_n100_d50_0017.csv,1351.8,10,60.1,150.04,210.24,2026-04-29 04:26:02
C1_n100_d50_0018.csv,1425.7,10,80.13,150.04,230.27,2026-04-29 04:29:52
C1_n100_d50_0019.csv,1739.7,18,40.04,150.03,190.18,2026-04-29 04:33:02
C1_n100_d50_0020.csv,2092,23,40.06,150.04,190.2,2026-04-29 04:36:13
C1_n100_d50_0021.csv,2082.4,21,40.05,150.04,190.11,2026-04-29 04:39:23
C1_n100_d50_0022.csv,1516.8,11,80.14,150.04,230.2,2026-04-29 04:43:13
C1_n100_d50_0023.csv,1814,19,40.06,150.04,190.12,2026-04-29 04:46:23
C1_n100_d50_0024.csv,1495.5,14,60.06,150.04,210.13,2026-04-29 04:49:53
C1_n100_d50_0025.csv,2001,20,60.06,150.05,210.13,2026-04-29 04:53:23
C1_n100_d50_0026.csv,1464.1,12,60.07,150.04,210.13,2026-04-29 04:56:53
C1_n100_d50_0027.csv,1503.4,9,100.15,150.06,250.3,2026-04-29 05:01:04
C1_n100_d50_0028.csv,1910,21,40.08,150.04,190.17,2026-04-29 05:04:14
C1_n100_d50_0029.csv,2165.7,22,40.03,150.04,190.1,2026-04-29 05:07:24
C1_n100_d50_0030.csv,1393.2,12,40.04,150.04,190.21,2026-04-29 05:10:34
C1_n100_d50_0031.csv,1993.2,19,40.06,150.04,190.19,2026-04-29 05:13:44
C1_n100_d50_0032.csv,1631.9,15,40.04,150.05,190.14,2026-04-29 05:16:55
C1_n100_d50_0033.csv,1417.5,12,40.04,150.05,190.15,2026-04-29 05:20:05
C1_n100_d50_0034.csv,1510.5,11,60.07,150.04,210.14,2026-04-29 05:23:35
C1_n100_d50_0035.csv,1365,11,60.07,150.05,210.22,2026-04-29 05:27:05
C1_n100_d50_0036.csv,1486.7,13,40.04,150.03,190.18,2026-04-29 05:30:15
C1_n100_d50_0037.csv,1263.5,10,40.05,150.06,190.14,2026-04-29 05:33:25
C1_n100_d50_0038.csv,1734.9,18,40.04,150.1,190.26,2026-04-29 05:36:36
C1_n100_d50_0039.csv,1436.7,10,60.1,150.04,210.19,2026-04-29 05:40:06
C1_n100_d50_0040.csv,1782.3,19,40.03,150.03,190.1,2026-04-29 05:43:16
C1_n100_d50_0041.csv,1955.7,21,40.03,150.04,190.19,2026-04-29 05:46:26
C1_n100_d50_0042.csv,2049.2,22,40.03,150.04,190.1,2026-04-29 05:49:36
C1_n100_d50_0043.csv,1356.5,12,40.05,150.07,190.15,2026-04-29 05:52:46
C1_n100_d50_0044.csv,1568.6,13,60.08,150.04,210.14,2026-04-29 05:56:17
C1_n100_d50_0045.csv,1351.5,11,40.04,150.04,190.11,2026-04-29 05:59:27
C1_n100_d50_0046.csv,1450.8,13,60.07,150.04,210.14,2026-04-29 10:39:00
C1_n100_d50_0047.csv,2168.4,24,40.03,150.05,190.18,2026-04-29 10:42:10
C1_n100_d50_0048.csv,1775.4,19,40.05,150.04,190.18,2026-04-29 10:45:20
C1_n100_d50_0049.csv,1972.1,21,40.04,150.04,190.12,2026-04-29 10:48:31
C1_n100_d50_0050.csv,1469.5,10,80.13,150.03,230.26,2026-04-29 10:52:21
C1_n100_d75_0001.csv,1607.5,14,80.09,150.05,230.16,2026-04-29 10:56:11
C1_n100_d75_0002.csv,2137.7,22,40.04,150.04,190.19,2026-04-29 10:59:21
C1_n100_d75_0003.csv,2073.7,22,40.03,150.04,190.09,2026-04-29 11:02:31
C1_n100_d75_0004.csv,1801.5,14,80.1,150.04,230.24,2026-04-29 11:06:22
C1_n100_d75_0005.csv,1970.3,20,40.06,150.05,190.13,2026-04-29 11:09:32
C1_n100_d75_0006.csv,2188.7,22,40.04,150.04,190.11,2026-04-29 11:12:42
C1_n100_d75_0007.csv,1681.6,14,60.07,150.04,210.21,2026-04-29 11:16:12
C1_n100_d75_0008.csv,1661.1,11,100.17,150.05,250.25,2026-04-29 11:20:22
C1_n100_d75_0009.csv,1711,11,100.15,150.03,250.21,2026-04-29 11:24:32
C1_n100_d75_0010.csv,1731.9,13,80.09,150.04,230.24,2026-04-29 11:28:23
C1_n100_d75_0011.csv,1949.4,15,80.12,150.04,230.2,2026-04-29 11:32:13
C1_n100_d75_0012.csv,1659.6,16,40.05,150.04,190.19,2026-04-29 11:35:23
C1_n100_d75_0013.csv,1684.1,12,100.14,150.05,250.21,2026-04-29 11:39:33
C1_n100_d75_0014.csv,1754.2,11,100.14,150.04,250.22,2026-04-29 11:43:44
C1_n100_d75_0015.csv,2130,22,40.04,150.04,190.11,2026-04-29 11:46:54
C1_n100_d75_0016.csv,1752.6,14,80.12,150.04,230.19,2026-04-29 11:50:44
C1_n100_d75_0017.csv,2179.4,25,40.04,150.04,190.1,2026-04-29 11:53:54
C1_n100_d75_0018.csv,1773,12,100.16,150.05,250.24,2026-04-29 11:58:04
C1_n100_d75_0019.csv,1966.4,10,100.17,150.05,250.33,2026-04-29 12:02:14
C1_n100_d75_0020.csv,2087.5,21,40.04,150.04,190.1,2026-04-29 12:05:25
C1_n100_d75_0021.csv,1566.1,12,80.12,150.04,230.21,2026-04-29 12:09:15
C1_n100_d75_0022.csv,1690.4,13,100.14,150.03,250.26,2026-04-29 12:13:25
C1_n100_d75_0023.csv,1652.5,16,40.05,150.04,190.12,2026-04-29 12:16:35
C1_n100_d75_0024.csv,1845.8,19,40.07,150.04,190.13,2026-04-29 12:19:45
C1_n100_d75_0025.csv,2045.1,21,60.06,150.04,210.2,2026-04-29 12:23:16
C1_n100_d75_0026.csv,2436.1,24,60.08,150.04,210.23,2026-04-29 12:26:46
C1_n100_d75_0027.csv,1666.3,12,80.1,150.03,230.16,2026-04-29 12:30:36
C1_n100_d75_0028.csv,1746.5,16,40.03,150.04,190.1,2026-04-29 12:33:46
C1_n100_d75_0029.csv,1791,16,60.1,150.04,210.26,2026-04-29 12:37:16
C1_n100_d75_0030.csv,2094.8,23,40.03,150.05,190.18,2026-04-29 12:40:26
C1_n100_d75_0031.csv,2040.3,22,40.03,150.04,190.12,2026-04-29 12:43:37
C1_n100_d75_0032.csv,2086.3,17,100.17,150.05,250.26,2026-04-29 12:47:47
C1_n100_d75_0033.csv,1740.8,11,100.15,150.04,250.31,2026-04-29 12:51:57
C1_n100_d75_0034.csv,1875.7,18,60.06,150.03,210.19,2026-04-29 12:55:27
C1_n100_d75_0035.csv,1829,19,40.05,150.04,190.12,2026-04-29 12:58:37
C1_n100_d75_0036.csv,1674.8,14,60.07,150.04,210.21,2026-04-29 13:02:08
C1_n100_d75_0037.csv,1983.8,20,60.07,150.04,210.21,2026-04-29 13:05:38
C1_n100_d75_0038.csv,1583.2,15,60.08,150.04,210.14,2026-04-29 13:09:08
C1_n100_d75_0039.csv,1732.5,14,60.08,150.04,210.15,2026-04-29 13:12:38
C1_n100_d75_0040.csv,1925.7,21,40.03,150.04,190.12,2026-04-29 13:15:48
C1_n100_d75_0041.csv,1975.6,18,60.09,150.04,210.16,2026-04-29 13:19:18
C1_n100_d75_0042.csv,1856.5,12,100.15,150.04,250.22,2026-04-29 13:23:29
C1_n100_d75_0043.csv,1922.2,16,80.09,150.05,230.16,2026-04-29 13:27:19
C1_n100_d75_0044.csv,1956.6,21,60.06,150.04,210.13,2026-04-29 13:30:49
C1_n100_d75_0045.csv,1909,13,120.2,150.04,270.26,2026-04-29 13:35:19
C1_n100_d75_0046.csv,2103.6,22,40.04,150.04,190.11,2026-04-29 13:38:29
C1_n100_d75_0047.csv,1592.9,13,80.12,150.04,230.21,2026-04-29 13:42:20
C1_n100_d75_0048.csv,1721.5,12,80.14,150.03,230.2,2026-04-29 13:46:10
C1_n100_d75_0049.csv,1769.3,12,80.1,150.03,230.17,2026-04-29 13:50:00
C1_n100_d75_0050.csv,1790.6,17,60.07,150.04,210.13,2026-04-29 13:53:30
C1_n100_d75_0051.csv,1658.6,16,60.08,150.04,210.17,2026-04-29 13:57:00
C1_n100_d75_0052.csv,1703.8,15,60.06,150.04,210.13,2026-04-29 14:00:30
C1_n100_d75_0053.csv,2116.1,11,120.2,150.05,270.28,2026-04-29 14:05:01
C1_n100_d75_0054.csv,1971.7,11,100.22,150.05,250.3,2026-04-29 14:09:11
C1_n100_d75_0055.csv,2127.3,23,60.07,150.04,210.13,2026-04-29 14:12:41
C1_n100_d75_0056.csv,1621.4,12,80.15,150.04,230.22,2026-04-29 14:16:31
C1_n100_d75_0057.csv,2242.6,24,60.06,150.04,210.13,2026-04-29 14:20:01
C1_n100_d75_0058.csv,1698.4,13,100.17,150.04,250.23,2026-04-29 14:24:12
C1_n100_d75_0059.csv,1929.6,11,80.12,150.04,230.19,2026-04-29 14:28:02
C1_n100_d75_0060.csv,1634.2,14,60.07,150.04,210.14,2026-04-29 14:31:32
C1_n100_d75_0061.csv,1727.6,12,100.14,150.05,250.23,2026-04-29 14:35:42
C1_n100_d75_0062.csv,1807,13,80.1,150.04,230.17,2026-04-29 14:39:32
C1_n100_d75_0063.csv,2207.1,23,60.08,150.07,210.17,2026-04-29 14:43:03
C1_n100_d75_0064.csv,1466.1,11,80.19,150.04,230.26,2026-04-29 14:46:53
C1_n100_d75_0065.csv,2324.1,25,40.08,150.04,190.16,2026-04-29 14:50:03
C1_n100_d75_0066.csv,1773,15,60.07,150.06,210.16,2026-04-29 14:53:33
C1_n100_d75_0067.csv,2113.1,22,40.03,150.04,190.1,2026-04-29 14:56:43
C1_n100_d75_0068.csv,1658.5,12,80.1,150.06,230.2,2026-04-29 15:00:33
C1_n100_d75_0069.csv,1797.1,18,40.05,150.04,190.13,2026-04-29 15:03:44
C1_n100_d75_0070.csv,1545.3,13,80.12,150.03,230.2,2026-04-29 15:07:34
C1_n100_d75_0071.csv,1663.5,14,80.09,150.04,230.15,2026-04-29 15:11:24
C1_n100_d75_0072.csv,2122.5,21,60.06,150.03,210.12,2026-04-29 15:14:54
C1_n100_d75_0073.csv,1765,16,40.06,150.04,190.15,2026-04-29 15:18:04
C1_n100_d75_0074.csv,1706.2,15,60.07,150.05,210.14,2026-04-29 15:21:34
C1_n100_d75_0075.csv,1791.6,14,80.1,150.04,230.16,2026-04-29 15:25:24
C2_n100_d100_0001.csv,1942.6,20,60.06,150.03,210.15,2026-04-29 15:28:55
C2_n100_d100_0002.csv,1420,12,60.09,150.05,210.19,2026-04-29 15:32:25
C2_n100_d100_0003.csv,1917.7,13,60.07,150.03,210.13,2026-04-29 15:35:55
C2_n100_d100_0004.csv,1326.9,9,60.11,150.04,210.17,2026-04-29 15:39:25
C2_n100_d100_0005.csv,1576,13,60.07,150.04,210.14,2026-04-29 15:42:55
C2_n100_d100_0006.csv,1702.6,17,40.05,150.04,190.12,2026-04-29 15:46:05
C2_n100_d100_0007.csv,1927.1,19,40.05,150.04,190.12,2026-04-29 15:49:16
C2_n100_d100_0008.csv,1386.6,9,60.06,150.05,210.15,2026-04-29 15:52:46
C2_n100_d100_0009.csv,1401.9,10,60.08,150.04,210.14,2026-04-29 15:56:16
C2_n100_d100_0010.csv,1669.9,16,40.04,150.04,190.11,2026-04-29 15:59:26
C2_n100_d100_0011.csv,1306.7,10,40.06,150.04,190.15,2026-04-29 16:02:36
C2_n100_d100_0012.csv,1734.6,16,40.03,150.04,190.1,2026-04-29 16:05:46
C2_n100_d100_0013.csv,1673.9,17,40.04,150.03,190.11,2026-04-29 16:08:56
C2_n100_d100_0014.csv,2253.2,25,40.04,150.04,190.11,2026-04-29 16:12:06
C2_n100_d100_0015.csv,1514.9,12,60.06,150.04,210.13,2026-04-29 16:15:37
C2_n100_d100_0016.csv,1859.8,19,60.07,150.04,210.15,2026-04-29 16:19:07
C2_n100_d100_0017.csv,1702.6,15,60.06,150.03,210.13,2026-04-29 16:22:37
C2_n100_d100_0018.csv,2073.8,22,60.06,150.03,210.12,2026-04-29 16:26:07
C2_n100_d100_0019.csv,1604.9,15,40.07,150.04,190.13,2026-04-29 16:29:17
C2_n100_d100_0020.csv,1336.3,12,60.06,150.05,210.13,2026-04-29 16:32:47
C2_n100_d100_0021.csv,1623.9,12,60.07,150.03,210.13,2026-04-29 16:36:17
C2_n100_d100_0022.csv,2006.2,20,40.04,150.03,190.1,2026-04-29 16:39:27
C2_n100_d100_0023.csv,1454,10,60.08,150.05,210.16,2026-04-29 16:42:58
C2_n100_d100_0024.csv,2158.8,22,40.04,150.03,190.1,2026-04-29 16:46:08
C2_n100_d100_0025.csv,1466.9,12,60.11,150.04,210.17,2026-04-29 16:49:38
C2_n100_d100_0026.csv,1797.6,18,40.06,150.04,190.12,2026-04-29 16:52:48
C2_n100_d100_0027.csv,1447.1,12,40.03,150.04,190.1,2026-04-29 16:55:58
C2_n100_d100_0028.csv,1559.6,14,40.04,150.04,190.11,2026-04-29 16:59:08
C2_n100_d100_0029.csv,1617.8,16,60.07,150.06,210.15,2026-04-29 17:02:38
C2_n100_d100_0030.csv,1557.9,12,40.04,150.04,190.1,2026-04-29 17:05:48
C2_n100_d100_0031.csv,1851.3,19,60.06,150.04,210.14,2026-04-29 17:09:19
C2_n100_d100_0032.csv,1322,11,40.03,150.04,190.11,2026-04-29 17:12:29
C2_n100_d100_0033.csv,1573.6,13,60.09,150.04,210.15,2026-04-29 17:15:59
C2_n100_d100_0034.csv,1402.2,10,40.04,150.07,190.15,2026-04-29 17:19:09
C2_n100_d100_0035.csv,1747.3,16,40.06,150.04,190.14,2026-04-29 17:22:19
C2_n100_d100_0036.csv,1708.5,15,60.08,150.04,210.14,2026-04-29 17:25:49
C2_n100_d100_0037.csv,1454.3,13,40.03,150.04,190.09,2026-04-29 17:28:59
C2_n100_d100_0038.csv,1830.3,20,40.05,150.03,190.11,2026-04-29 17:32:09
C2_n100_d100_0039.csv,1439,10,60.06,150.04,210.13,2026-04-29 17:35:40
C2_n100_d100_0040.csv,2261.2,25,40.05,150.04,190.14,2026-04-29 21:44:46
C2_n100_d100_0041.csv,1534.7,14,60.06,150.04,210.13,2026-04-29 21:48:16
C2_n100_d100_0042.csv,1444.7,11,40.04,150.04,190.18,2026-04-29 21:51:26
C2_n100_d100_0043.csv,1968.8,22,60.06,150.03,210.13,2026-04-29 21:54:56
C2_n100_d100_0044.csv,2061.3,22,40.05,150.04,190.12,2026-04-29 21:58:07
C2_n100_d100_0045.csv,1345.7,9,60.09,150.05,210.28,2026-04-29 22:01:37
C2_n100_d100_0046.csv,1483,14,40.04,150.04,190.1,2026-04-29 22:21:27
C2_n100_d100_0047.csv,1856,17,60.07,150.03,210.12,2026-04-29 22:24:57
